_id,ciudad,pobreza extrema (%),carencia por acceso a la alimentación (%),pobreza extrema y con carencia por acceso a la alimentación (%)
98,Zitácuaro,14.953896636587366,37.85857260049221,12.244850000000001
34,Puebla-Tlaxcala,9.094953110872812,26.518344319687127,6.624330703869144
268,Zacapu,6.938750610053685,27.000976085895555,5.9137200000000005
9,Tecomán,4.850905262806106,22.253507005656324,3.802562542756645
215,Taxco de Alarcón,17.61371105560668,31.18016300775601,12.87396
51,Minatitlán,12.094751098991086,32.64451960246548,9.493337685164727
224,Arandas,13.706004765207949,32.01586392013753,10.67455
228,Ciudad Guzmán,1.4513459990776494,22.535198531472957,1.29073
52,Coatzacoalcos,5.373603215329834,26.999938510729876,4.8417455386739565
127,Huamantla,11.510091988382973,26.178411286500676,9.34277
234,Lagos de Moreno,6.037294036877207,36.05641918399372,5.489920000000001
23,Ocotlán,9.249903373640329,27.50400309204351,8.569488144497821
22,Puerto Vallarta,5.10404041548203,24.002356059490502,4.741248664068961
201,Salamanca,5.020221897175248,22.606783192499133,4.39613
119,Chetumal,8.623902884966238,29.046623220192018,7.82431
104,San Juan Bautista Tuxtepec,14.236046232282519,24.811814323465818,10.44969
242,Tepatitlán de Morelos,3.2238784730869114,26.279839197410084,2.8319400000000003
195,San Miguel de Allende,21.31572539639343,33.96092642193162,17.26492
24,Toluca,9.024090801915555,34.429123417353736,8.24731577248538
252,Apatzingán de la Constitución,13.141135573580534,28.661877172653533,9.78425
59,Teziutlán,13.063290719736198,28.367730763813515,9.472069824353547
286,Heroica Ciudad de Huajuapan de León,7.140532062853254,15.71331340810227,5.05048
154,Sabinas,2.019877624150637,17.916906122173014,1.8554000000000002
26,Zamora-Jacona,9.90240900662033,23.971123308264467,7.90516873206048
94,Ciudad Lázaro Cárdenas,6.0090168305355895,31.50910717512307,5.53731
95,Uruapan,12.428598772956692,31.442732941780925,10.59487
132,Martínez de la Torre,21.426982580749083,22.473211477836667,10.748876209951447
327,Heroica Caborca,5.4583861427967895,27.987205021425552,4.950899999999999
29,Cuautla,8.533562066548814,22.057500601470725,6.461006006966599
188,Victoria de Durango,5.06098317783803,17.468442057677482,4.511620000000001
28,Cuernavaca,4.700070473837577,21.614484353224377,3.754118036412802
287,Heroica Ciudad de Juchitán de Zaragoza,11.331237294341957,17.102920565172923,6.9236699999999995
32,Oaxaca,7.229417866030391,16.170741941425167,4.524108737521101
33,Tehuantepec,11.619217510787552,22.313357278885327,7.822266653870259
35,Tehuacán,10.179963139709118,27.575374371944335,7.373203988941913
211,Iguala de la Independencia,10.092453902174475,23.89634537767382,5.81156
294,Atlixco,13.749125126370634,24.318462641815934,9.52172
260,Pátzcuaro,14.142656152090897,36.25400503659214,11.71194
303,Cozumel,4.18103615298175,21.03692796528074,3.6151999999999997
36,Querétaro,3.871467321328967,18.895002588742926,3.487025113126701
37,Cancún,3.2744053760142764,18.090092853358613,2.7215620021191755
305,Playa del Carmen,4.312774797818798,21.86102150024497,3.5265999999999997
19,Tulancingo,11.955595435095297,27.01833807529117,8.93726403681142
39,Ríoverde-Ciudad Fernández,11.950793755352084,27.671925433107177,10.107347184391674
18,Pachuca,4.096337811118865,22.229915387299375,3.606530567919138
310,Matehuala,5.766077891545766,25.019333683917466,5.08796
68,Guanajuato,5.0588254074677135,22.200405472279424,4.53424
321,Mazatlán,2.94503370143322,16.821859831129192,2.6264499999999997
